Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;67,804405;110;0;0;short;ad;far;1,775063;18,270935;deep;ad;near;-1,628722;0,144246;0,687349;inside out;In;false;07:55:13;2158,620117
Rikard Rykkvin;4;return_plus_one;Backhand;Topspin;76,255753;110;0;0;deep;ad;near;-2,35116;2,497524;deep;ad;far;2,717454;23,888172;1,973921;cross court;In;false;07:55:15;2160,399902
Rasmus Kopperud Riis;5;in_play;Backhand;Topspin;63,510826;110;0;0;deep;deuce;far;-0,496973;21,084358;out;ad;near;-2,33644;-0,908097;0,517261;down the line;In;false;07:55:16;2161,75
Rikard Rykkvin;6;in_play;Forehand;Topspin;76,97113;110;0;0;deep;ad;near;-3,982242;4,645669;deep;deuce;far;-0,496973;21,73045;2,226594;down the line;In;false;07:55:18;2163,5
Rasmus Kopperud Riis;7;in_play;Backhand;Flat;68,860748;110;0;0;deep;ad;far;2,621107;20,784462;out;ad;near;-3,953197;-1,273502;1,202637;cross court;In;false;07:55:20;2165,060059
Rikard Rykkvin;8;in_play;Forehand;Topspin;50,399918;110;0;0;short;ad;far;0,983871;16,605768;deep;ad;far;2,621107;21,430553;2,72886;inside out;Net;false;07:55:21;2166,610107
Rasmus Kopperud Riis;1;serve;Serve;Slice;157,156418;111;0;0;deep;deuce;far;-0,283645;23,002502;deep;deuce;near;-0,553745;0,276602;2,612166;down the T;Out;false;07:55:36;2181,060059
Rikard Rykkvin;2;return;Backhand;Flat;69,056213;111;0;0;deep;deuce;far;-0,323047;19,101099;deep;ad;far;0,138163;23,558889;1,711916;down the line;Net;false;07:55:37;2181,899902
Rasmus Kopperud Riis;1;serve;Serve;Slice;101,549515;112;0;0;deep;ad;far;1,325307;20,041691;deep;ad;near;-0,247758;1,050826;2,438522;down the T;Out;false;07:55:48;2192,830078
Rikard Rykkvin;2;return;Backhand;Flat;57,881897;112;0;0;deep;ad;near;-2,126055;5,189902;deep;ad;far;1,310812;24,020672;2,254706;cross court;In;false;07:55:48;2193,77002
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;71,228516;112;0;0;deep;ad;far;0,669031;21,33662;deep;ad;near;-1,958761;0,467862;0,903766;cross court;In;false;07:55:50;2195,52002
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;73,198708;112;0;0;deep;ad;far;1,495582;22,83728;deep;ad;far;0,669031;21,982712;2,215806;inside out;Net;false;07:55:51;2196,719971
Rikard Rykkvin;5;in_play;Forehand;Topspin;59,250229;112;0;0;deep;ad;near;-1,2087;4,287438;deep;ad;far;1,495582;23,483372;1,41569;inside out;In;false;07:55:52;2197,27002
Rasmus Kopperud Riis;6;in_play;Forehand;Flat;87,559143;112;0;0;deep;deuce;far;-2,102221;19,789753;out;ad;near;-1,210014;-1,033002;1,352799;inside in;In;false;07:55:54;2199,070068
Rikard Rykkvin;7;in_play;Forehand;Flat;75,997147;112;0;0;deep;ad;near;-2,232927;0,387599;deep;deuce;far;-0,92101;23,992479;2,564386;down the line;In;false;07:55:55;2200,669922
Rasmus Kopperud Riis;8;in_play;Backhand;Flat;62,760368;112;0;0;deep;deuce;far;-1,163884;19,882013;out;ad;near;-1,856891;-1,183208;1,137896;down the line;In;false;07:55:57;2202,070068
Rikard Rykkvin;9;in_play;Forehand;Topspin;60,224186;112;0;0;deep;deuce;near;1,692264;5,406386;deep;deuce;far;-0,696863;21,057961;2,981083;cross court;In;false;07:55:58;2203,620117
Rasmus Kopperud Riis;10;in_play;Forehand;Flat;57,800934;112;0;0;deep;ad;far;0,703715;20,54884;out;deuce;near;2,813816;-1,183441;0,846984;down the line;In;false;07:56:00;2205,370117
Rikard Rykkvin;11;in_play;Volley;Flat;30,662121;112;0;0;deep;deuce;near;1,557263;2,118208;deep;ad;far;0,703715;21,194931;2,932105;down the line;In;false;07:56:02;2207,320068
Rasmus Kopperud Riis;12;in_play;Forehand;Topspin;66,922791;112;0;0;deep;deuce;far;-1,494161;22,285904;out;deuce;near;1,70918;-0,470131;1,042272;cross court;In;false;07:56:03;2208,139893
Rikard Rykkvin;13;in_play;Forehand;Topspin;73,396927;112;0;0;deep;ad;near;-2,907283;0,016019;deep;deuce;far;-1,494161;22,931995;1,691306;down the line;In;false;07:56:04;2209,52002
Rasmus Kopperud Riis;14;in_play;Backhand;Topspin;40,27919;112;0;0;deep;ad;far;1,577049;19,695158;short;ad;near;-0,504486;11,827723;4,934503;cross court;In;false;07:56:06;2211,629883
Rasmus Kopperud Riis;1;serve;Serve;Slice;138,366592;113;0;0;short;deuce;far;-0,68389;17,996475;deep;deuce;near;0,682826;0,625962;2,466708;down the T;In;false;07:56:23;2228,379883
Rikard Rykkvin;2;return;Backhand;Topspin;55,315884;113;0;0;short;ad;far;0,41576;12,607562;out;deuce;far;-1,11525;24,758297;0,830533;inside in;Net;false;07:56:24;2229,330078
Rasmus Kopperud Riis;1;serve;Serve;Slice;174,377686;114;0;0;deep;ad;far;1,432814;21,366001;deep;ad;near;-0,125148;0,890867;2,649783;down the T;Out;false;07:56:42;2247,719971
Rasmus Kopperud Riis;1;serve;Serve;Slice;114,93187;115;0;0;short;ad;far;1,551738;17,685688;deep;ad;near;-0,386027;0,290856;2,658797;down the T;In;false;07:56:49;2254,790039
Rikard Rykkvin;2;return;Forehand;Topspin;74,969635;115;0;0;deep;ad;near;-3,591028;1,903308;out;ad;far;1,308839;26,015539;1,175715;inside out;In;false;07:56:51;2255,939941
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;68,106613;115;0;0;deep;ad;far;2,538522;22,045919;deep;ad;near;-2,707042;0,619612;0,350466;cross court;In;false;07:56:52;2257,340088
Rikard Rykkvin;0;none;Forehand;Flat;76,191513;116;0;0;short;deuce;near;0,143895;6,282881;deep;ad;far;2,538522;22,692011;3,341346;inside in;In;false;07:56:53;2258,72998
Rasmus Kopperud Riis;1;none;Backhand;Topspin;33,077904;116;0;0;short;deuce;far;-0,032687;16,731266;short;deuce;near;0,143895;9,42922;5,746163;inside out;In;false;07:56:58;2262,850098
Rikard Rykkvin;2;none;Forehand;Flat;36,163406;116;0;0;short;ad;far;0,1207;17,749048;deep;ad;far;0,585931;20,555378;4,797435;inside out;Net;false;07:57:04;2269,570068
Rikard Rykkvin;1;serve;Serve;Flat;112,134499;117;0;0;deep;deuce_alley;near;5,319029;3,47071;short;deuce;far;-0,100542;23,489016;3,398302;out wide;Out;false;07:57:25;2290,139893
Rasmus Kopperud Riis;2;return;Forehand;Topspin;52,048428;117;0;0;deep;deuce;far;-0,331652;18,429924;deep;deuce_alley;near;4,509748;4,299167;3,896063;down the line;In;false;07:57:26;2291,459961
Rikard Rykkvin;1;serve;Serve;Flat;145,288803;118;0;0;short;deuce;near;2,421511;6,752984;deep;deuce;far;-0,366152;23,693624;4,290405;out wide;In;false;07:57:38;2302,949951
Rasmus Kopperud Riis;2;return;Forehand;Flat;87,460152;118;0;0;deep;ad;far;0,80393;19,400934;out;deuce;near;3,936291;-0,400386;1,092905;down the line;In;false;07:57:39;2303,97998
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;63,662388;118;0;0;deep;ad;near;-1,434737;4,633071;deep;ad;far;0,396785;23,429955;1,243226;cross court;In;false;07:57:40;2305,379883
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Flat;80,964478;118;0;0;deep;deuce;far;-0,083372;22,476698;out;ad;near;-1,4507;-0,659138;1,113519;down the line;In;false;07:57:42;2307,120117
Rikard Rykkvin;5;in_play;Forehand;Flat;68,684082;118;0;0;short;ad;near;-2,378907;7,795807;out;deuce;far;-0,102784;24,500576;0,678303;down the line;In;false;07:57:43;2308,419922
Rasmus Kopperud Riis;6;in_play;Backhand;Slice;90,677002;118;0;0;short;ad;near;-1,246115;7,263648;deep;ad;near;-2,251492;1,759257;0,776674;cross court;Net;false;07:57:45;2310,070068
Rasmus Kopperud Riis;7;in_play;Backhand;Topspin;40,99691;118;0;0;short;ad;far;1,321331;17,727032;short;ad;near;-1,020838;10,831464;1,806574;cross court;In;false;07:57:46;2311,070068
